stage,iteration,negative_elbo,grad_norm,kl_beta,loglik,nu,omega,u,sigma,alpha_mean,phi_mean,jitter
residual,52,751425957.969917,10665376327.491201,0.49523809523809526,-751424132.6947757,5.398136847862775,1.218255485526682,-0.7701941827246471,0.4316617240389618,0.16308772006976668,0.4001969729344165,1e-08
residual,53,1203965.6744002402,26884379.397154063,0.5047619047619047,-1202102.362361012,3.83425805063656,1.1021239173374404,-0.3258931352651014,0.41316219873169036,-0.1238244453111731,0.2983322107740851,1e-08
residual,54,7902718.483983948,197365121.5432112,0.5142857142857142,-7900823.337446808,7.35607841352386,1.023059811098174,0.2939814518338385,0.39968450149295653,-0.28616057493324054,0.3232146597837308,1e-08
residual,55,3411.7539372622527,15559.422875826876,0.5238095238095238,-1481.920146954323,5.392460157269185,0.9034048220661591,-0.48971905987534486,0.5230115180174482,-0.22932756270476046,0.2024195763136787,1e-08
residual,56,411529.59008022875,8402387.95347738,0.5333333333333333,-409561.8379305853,3.593557435676936,1.1723889667249154,1.4120999256361233,0.42610113256883636,0.21260774880420766,0.2837874370153948,1e-08
residual,57,103377.60227844377,1811761.032077135,0.5428571428571428,-101373.9745356553,2.895860517232568,0.9992218635583223,-0.5812210231937056,0.4020983339950485,-0.2631901292174113,0.26317943767900626,1e-08
residual,58,6980973.536209579,175193229.1115762,0.5523809523809524,-6978936.013447312,4.2732162882414,0.783206496415811,0.4668042212362352,0.41710672713976693,-0.12528402832576035,0.32618769003783005,1e-08
residual,59,122685.13991450949,2274682.6000860413,0.5619047619047619,-120612.93745799168,4.8166529307203785,1.0604754530405975,-0.39144898719666266,0.4717110340215222,-0.18466479733716815,0.268815918378,1e-08
residual,60,9444.470378690721,91256.75180070421,0.5714285714285714,-7339.066658722279,2.7626307506875474,0.9769386985606883,-0.5647644328842677,0.3663496356230931,-0.4933035738022316,0.21883234523837425,1e-08
residual,61,15096.374191573346,189943.0330974283,0.580952380952381,-12953.435626157641,4.036326857836139,0.880596968866057,0.8036347183261591,0.4392541547225126,-0.0021618878395622165,0.23668826355323294,1e-08
residual,62,323115.5269054878,6664325.507678296,0.5904761904761905,-320937.17335521564,2.9140439177396464,0.8625073615771952,-0.7012053920649026,0.44463200788857543,0.0076297359912400895,0.2839395893486221,1e-08
