stage,iteration,negative_elbo,grad_norm,kl_beta,loglik,phi,sigma,jitter
joint,103,10676447.96816791,272237335.86926603,0.5722222222222222,-10675045.746271696,0.3334451557130453,0.45703301698203547,1e-08
joint,104,169869968.9126756,3251789870.809429,0.5777777777777777,-169868553.65584233,0.3791630660796123,0.498479301583314,1e-08
joint,105,327770.5228227592,6928720.3932578,0.5833333333333334,-326340.6897390167,0.2894993074065869,0.4984814059971708,1e-08
joint,106,3794920.039693832,94603062.75522876,0.5888888888888889,-3793475.834110123,0.32264456347661047,0.5023559633076622,1e-08
joint,107,18445136.683864232,484160196.27250785,0.5944444444444444,-18443678.720962137,0.34153260926048207,0.497334303487884,1e-08
joint,108,63774301.53811295,1507034139.062097,0.6,-63772830.149317294,0.3620450526922528,0.5020029130250627,1e-08
joint,109,38836077.89841219,957267183.6085905,0.6055555555555555,-38834592.62901962,0.3564127601542909,0.5299114523303604,1e-08
joint,110,73533361.34002472,1615937265.2565556,0.6111111111111112,-73531863.41130134,0.36931341631121994,0.5793112727901758,1e-08
joint,111,11748133.436929582,302826106.2852684,0.6166666666666667,-11746619.913076289,0.3392930063577097,0.5248755411034093,1e-08
joint,112,643331.8908653723,14527562.351025863,0.6222222222222222,-641804.8251190282,0.30080314657726986,0.5534440791499956,1e-08
joint,113,1502700.390910162,35930113.644262545,0.6277777777777778,-1501158.7627079235,0.30903924749635053,0.491363428033703,1e-08
joint,114,3644698.0786196534,91163970.95317435,0.6333333333333333,-3643142.816468269,0.32429177308318435,0.544431882756776,1e-08
joint,115,13789966.833962074,356305594.41254413,0.6388888888888888,-13788397.59274553,0.3397797837170413,0.5269722948743403,1e-08
joint,116,1173679.2388863028,26429294.53997449,0.6444444444444445,-1172096.2692403097,0.30404269618175866,0.4529854492391359,1e-08
joint,117,347814.3888528726,7443046.76019759,0.65,-346217.39860971604,0.2923430178576224,0.5224837404091789,1e-08
joint,118,41436378.988911964,1055652901.5734394,0.6555555555555556,-41434768.22768835,0.3540456980888802,0.48273274464302024,1e-08
joint,119,125733.22733451714,2380217.4855328607,0.6611111111111111,-124109.41318689575,0.27867860180914034,0.5618988332681627,1e-08
joint,120,513721.0624955841,11130159.993821826,0.6666666666666666,-512082.116689615,0.29784934031676646,0.522347634471862,1e-08
joint,121,29285783.13705198,749120413.1585673,0.6722222222222223,-29284130.649167612,0.34930250377119176,0.46667463807091125,1e-08
joint,122,105682282.02722019,2220450928.8045793,0.6777777777777778,-105680616.43872245,0.3713604768822068,0.5419511229561079,1e-08
joint,123,1116943.4533005126,25976087.09772106,0.6833333333333333,-1115262.6821129278,0.30934115162257614,0.5430269247611165,1e-08
joint,124,243783.33970075627,4871372.883074265,0.6888888888888889,-242088.87738210295,0.2851503933602782,0.4840829171940052,1e-08
joint,125,997209.3174902664,22799497.96382591,0.6944444444444444,-995500.2983805399,0.30655966927006534,0.510620798422435,1e-08
joint,126,5553618.839174845,140701184.84839365,0.7,-5551895.876539323,0.32949932734672405,0.5169444450212646,1e-08
joint,127,6132281.4010956,161969252.00081515,0.7055555555555556,-6130545.340965931,0.3325715321254044,0.5752217811964734,1e-08
joint,128,452264.3014420321,9739845.066879833,0.7111111111111111,-450513.4544379296,0.29446122590946566,0.5034981231970345,1e-08
joint,129,17065507.602469385,446410828.9006045,0.7166666666666667,-17063742.87793337,0.3431085956481682,0.4960050396798491,1e-08
joint,130,303945.4071359172,6416846.926873357,0.7222222222222222,-302166.92766662274,0.292182962621612,0.5475347290595243,1e-08
joint,131,1707828.6070490817,41183490.31593548,0.7277777777777777,-1706035.8724512917,0.3153601394638814,0.5530586699417882,1e-08
joint,132,1825112.3775985825,43472536.094217494,0.7333333333333333,-1823305.1794248824,0.31356578606824564,0.5049467915026284,1e-08
joint,133,35651616.78994186,892688833.0616534,0.7388888888888889,-35649796.36687527,0.3531465231119797,0.4889957325184433,1e-08
joint,134,210759.85787044076,4229869.380422029,0.7444444444444445,-208925.29141477385,0.2819083341396545,0.4915931801573347,1e-08
joint,135,4880591.119752366,125077355.62664557,0.75,-4878742.1449765265,0.3291935931975179,0.5378765149590118,1e-08
joint,136,468576.75665124354,10134503.9461876,0.7555555555555555,-466713.73602710443,0.2972112930168306,0.5361342076085138,1e-08
joint,137,76203.66856795525,1350648.2903636394,0.7611111111111111,-74327.66516961534,0.27066916216723846,0.5388750317312667,1e-08
joint,138,30140833.07059136,760175482.2880626,0.7666666666666667,-30138943.232220225,0.35487412243552036,0.5694822200139275,1e-08
joint,139,497550.2642343658,10933083.097590737,0.7722222222222223,-495645.458989751,0.2981176370647574,0.5622085805024212,1e-08
joint,140,207278.70846747726,4145090.530646301,0.7777777777777778,-205359.69577467244,0.2846740198009332,0.515757787434702,1e-08
joint,141,319752.11843977234,6891010.864067732,0.7833333333333333,-317822.60962118756,0.29679292226377646,0.6632585301696242,1e-08
joint,142,198397.5678516363,3980816.851586302,0.7888888888888889,-196450.75011760846,0.28540833602639953,0.5483806492200597,1e-08
joint,143,132072.07684360284,2509750.1297593415,0.7944444444444444,-130111.20963883825,0.27878117497714094,0.5192487208450471,1e-08
joint,144,203589.40044486354,4005812.3474697503,0.8,-201614.71040238027,0.2812723201181476,0.47072062011053745,1e-08
joint,145,258636.52005401286,5174300.223210322,0.8055555555555556,-256647.170048271,0.2883634741768114,0.5215652197820355,1e-08
joint,146,26104850.74643233,660876665.4317417,0.8111111111111111,-26102848.409631856,0.35331448399438853,0.5596125983473831,1e-08
joint,147,308007.1716133321,6359618.0030605905,0.8166666666666667,-305989.9186757229,0.2920797844425117,0.5544915127111976,1e-08
joint,148,375647.39473014534,8006808.923759633,0.8222222222222222,-373615.6976745542,0.2918243738967555,0.4999534556764786,1e-08
joint,149,1398912.8532483177,33582518.248382635,0.8277777777777777,-1396866.9744769349,0.313816668024267,0.5425976342130543,1e-08
joint,150,261101.0409047074,5173690.337191994,0.8333333333333334,-259041.77214167904,0.2853156577588494,0.4659773540306675,1e-08
joint,151,672273.4288778701,15284546.030382529,0.8388888888888889,-670201.397077489,0.30711542651667173,0.6258852867073748,1e-08
joint,152,61111906.2326906,1483347184.4164991,0.8444444444444444,-61109819.39458367,0.36194499543900416,0.4869961830626993,1e-08
joint,153,58003.924107516796,988617.7718823076,0.85,-55902.75652436326,0.26647050595126015,0.5389067377793859,1e-08
joint,154,1902034.9413673505,45317884.1034713,0.8555555555555555,-1899918.1434957965,0.31692158057792125,0.5122853965999502,1e-08
joint,155,80753.14139421236,1431198.7819758179,0.8611111111111112,-78623.21701853519,0.2717019941309422,0.5209094054851252,1e-08
joint,156,6828629.646845104,172796611.49937826,0.8666666666666667,-6826484.872208779,0.3327353335455467,0.5134429939167123,1e-08
