Scenario,Replication,Model,RMSE,MAE,CRPS,Coverage,AIW,FitSeconds,IterationsUsed,EarlyStopped,final_negELBO,tail_negELBO_mean,tail_negELBO_sd,tail_slope,tail_relative_slope,tail_cv,tail_grad_median,tail_grad_p90,tail_n,Alpha_RMSE,Alpha_R2,Delta_RMSE,Delta_R2,Phi_RMSE,Phi_R2,Corr_Frobenius_RelErr,Corr_OffDiag_R
2,1009,Stationary Skew-t Neural Model,0.3924543723304787,0.302424250831449,0.2066050252633244,1.0,1.7748777334877732,6.93793153799993,600,1,1933.0597354705376,1948.7643245000731,35.37539416541262,-0.1383056117586862,-7.097092758723732e-05,0.0181527307949295,635.3519575958985,2741.812575514805,300,,,,,,,,
2,1010,Gaussian Neural Model,0.1366678948878219,0.0952925599282778,0.1050348045870682,1.0,1.3849616293894482,4.071329358999947,500,1,1574.7887892862627,1607.6723208449516,30.36886438494648,-0.2696358612827327,-0.0001677181710393,0.0188899590987455,132.42452955006303,497.02456676505807,300,,,,,,,,
2,1010,Proposed Adaptive NSST-BNF,0.1095515465620027,0.0730048541908804,0.0563529616690006,1.0,0.8076672928041961,15.397618279999731,800,1,2167.224040332231,2203.8685422020644,24.99663277543311,-0.2495127393687541,-0.000113215799668,0.0113421614296726,93.88541106587344,312.5231490281297,300,,,,,,,,
2,1010,Sparse Variational GP,0.3374618340432777,0.271334948879756,0.2088707855714595,1.0,2.234789786663785,1.3732776040001229,400,1,75.05512370306243,77.54601531165426,3.7680500052221655,-0.0316055574131974,-0.0004075716500219,0.048591149268966,4.15121774221493,21.137295766855683,300,,,,,,,,
2,1010,Stationary Skew-t Neural Model,0.1277073573746464,0.0872785126957727,0.1062499210066972,1.0,1.4701985848909904,4.764121666000165,500,1,1582.5114792741686,1616.1839506656866,41.12628182137031,-0.2986607105920714,-0.0001847937609261,0.0254465352192309,132.66552368758204,455.071089856876,300,,,,,,,,
2,1011,Gaussian Neural Model,0.2594248470365997,0.1771057066115201,0.1531303863868998,1.0,1.7899430763564077,5.802148689999967,400,1,2109.1559170533656,1970.7828880536103,79.10328474162044,-0.7389326095930053,-0.0003749436906887,0.0401380005992159,1601.1258545202377,6689.647644696792,251,,,,,,,,
2,1011,Proposed Adaptive NSST-BNF,0.2183242651569439,0.1576768467815627,0.1201605947106374,1.0,1.3703624151353435,17.215966849000324,800,1,2480.6546411316185,2509.9306625888094,32.56177185884831,-0.2173925620510607,-8.66129751277018e-05,0.0129731758507078,588.0716369187511,2534.715105384459,300,,,,,,,,
2,1011,Sparse Variational GP,0.5445061117398505,0.4238579031813327,0.3049595823628833,0.875,1.3604985541150278,5.889260856999954,1000,0,53.1106794006027,54.024936026126326,0.6137103393736834,-0.0069924549887342,-0.0001294301391741,0.0113597605941982,5.425862953021086,121.71864354775862,300,,,,,,,,
2,1011,Stationary Skew-t Neural Model,0.2301103601934749,0.1585480641824766,0.139765570560779,1.0,1.7237356068808394,6.84280053800012,600,1,1938.57728619508,1860.2788736142495,34.280008000958,-0.0949407114359068,-5.103574135175277e-05,0.0184273489782512,752.9005034528741,3536.08693255133,300,,,,,,,,
2,1012,Gaussian Neural Model,0.1807333785167025,0.1407282942195091,0.1412630247581806,1.0,1.8619601112346973,3.502606743999877,500,1,1676.97645415693,1722.3133268701386,59.82732443765696,-0.3541626578342906,-0.0002056319557591,0.0347366088993677,382.4324943692885,2066.9010901087418,300,,,,,,,,
2,1012,Proposed Adaptive NSST-BNF,0.1868819083280647,0.1487646487143281,0.0980718029364477,1.0,1.1013668658065816,19.526094189000105,800,1,2252.620107877235,2289.677233671525,41.73739660547316,-0.2830222708853492,-0.0001236079333467,0.0182285066173046,173.7554787706639,1053.3823723285143,300,,,,,,,,
2,1012,Sparse Variational GP,0.1667573334546675,0.1483578610728413,0.1035441598385644,1.0,1.1107921185921146,3.540007064000065,1000,1,41.38910996957064,41.93198905513993,0.387024818813109,-0.0043513167975016,-0.0001037708178302,0.0092298225658737,6.092749874301405,132.89134237948568,300,,,,,,,,
2,1012,Stationary Skew-t Neural Model,0.1980606681591638,0.1514403633742143,0.145837472369343,1.0,1.9053841409834549,7.171125300000085,500,1,1669.3687772128528,1716.2629457630358,55.34634049767084,-0.3186061619906238,-0.0001856394806968,0.03224817073299,334.7346271224412,1884.7335349222733,300,,,,,,,,
2,1013,Gaussian Neural Model,0.2395487282158881,0.1385469980011845,0.1149568352999733,0.9375,1.0478426339071532,5.10907318999989,600,1,1510.2699727337854,1522.829887557396,17.960548856000933,-0.1151398564220402,-7.560913885576761e-05,0.0117941925114232,118.45031313088084,432.0923197271299,300,,,,,,,,
2,1013,Proposed Adaptive NSST-BNF,0.220467559824418,0.1342773869485194,0.1000725079528964,1.0,1.0823179361858457,15.410913865000111,800,1,2102.289086379676,2119.9245524121807,28.665348527201825,-0.2335072387891215,-0.0001101488439875,0.0135218720376555,97.2391634055894,293.2636370761385,300,,,,,,,,
2,1013,Sparse Variational GP,0.3096093726070558,0.2249242053837528,0.1621805765800696,1.0,1.4620018368366612,4.9689794460000485,900,1,47.80888299090456,48.55107973899817,0.6511778338663846,-0.0072479119336272,-0.0001492842584055,0.0134122214658661,7.906661079995064,109.03870614967347,300,,,,,,,,
2,1013,Stationary Skew-t Neural Model,0.2427426759231846,0.1355805054278631,0.1136009054766526,0.9375,1.011727612580731,8.477707926999983,600,1,1514.540576820375,1525.1437111365017,21.717935617077814,-0.1261169408757896,-8.269184074582074e-05,0.0142399273317621,114.41457543663468,366.9889996056697,300,,,,,,,,
2,1014,Gaussian Neural Model,0.3044642509161633,0.2109029223590234,0.169265009350354,1.0,1.6062563215051249,3.3920347709999987,500,1,1627.928196704509,1660.6653023105,34.5973315944338,-0.2924943332235513,-0.0001761308150514,0.0208334163098959,240.4198645970294,915.1494013910416,300,,,,,,,,
2,1014,Proposed Adaptive NSST-BNF,0.2434263520292358,0.1594389641741735,0.1255070687051846,1.0,1.277104368823966,13.97588041400013,800,1,2229.584384018318,2238.500672201878,28.26891607729804,-0.2435922957844305,-0.000108819398095,0.0126285046184469,136.3891048146635,533.8034577614424,300,,,,,,,,
2,1014,Sparse Variational GP,0.508496542331636,0.3661299301680845,0.2636397631481836,0.9375,1.5841001205493523,3.299969391000104,900,1,55.25215572835421,55.990940053054366,0.6426627096981594,-0.0072013882032448,-0.0001286170261906,0.0114779767778356,2.672107037083075,3.627680201699849,300,,,,,,,,
2,1014,Stationary Skew-t Neural Model,0.2710830786699004,0.1798088414385349,0.1592669623407175,1.0,1.765349351640721,6.00843938800017,600,1,1617.134164834767,1635.5441057088308,26.950286070501505,-0.1335240748042403,-8.163893247401729e-05,0.0164778717837275,214.58082745476304,995.0860132743228,300,,,,,,,,
