Scenario,Replication,Factor,RMSE,MAE,CRPS,Coverage,AIW
2,2004,1.5,0.19905876881154863,0.148606234874254,0.1140115690511522,0.9375,1.0835033939975998
2,2005,0.75,0.3709910881577081,0.21386821023379324,0.16147863414505903,0.9375,0.7248002146214896
2,2005,0.85,0.37099108815770826,0.2138682102337936,0.15903613653207987,0.9375,0.8214402432376882
2,2005,0.95,0.3709910881577085,0.21386821023379365,0.15749954496522245,0.9375,0.9180802718538869
2,2005,1.0,0.37099108815770815,0.21386821023379338,0.15698806224495987,0.9375,0.9664002861619863
2,2005,1.1,0.3709910881577084,0.21386821023379352,0.15634876786936103,0.9375,1.0630403147781848
2,2005,1.2,0.3709910881577087,0.21386821023379374,0.15619239252441922,1.0,1.1596803433943834
2,2005,1.35,0.3709910881577086,0.21386821023379332,0.15674885135549688,1.0,1.3046403863186813
2,2005,1.5,0.3709910881577086,0.21386821023379343,0.15846099977172176,1.0,1.4496004292429792
3,2001,0.75,0.27323041468125087,0.19190193139692296,0.13244092342172514,0.875,0.6453805266709574
3,2001,0.85,0.2732304146812507,0.1919019313969225,0.13026833695691142,0.9375,0.7314312635604183
3,2001,0.95,0.27323041468125064,0.19190193139692246,0.1288769685234685,0.9375,0.8174820004498793
3,2001,1.0,0.2732304146812511,0.19190193139692308,0.12842515264132534,0.9375,0.8605073688946099
3,2001,1.1,0.2732304146812506,0.1919019313969226,0.12809283899446647,0.9375,0.9465581057840708
3,2001,1.2,0.27323041468125087,0.1919019313969228,0.12837849245064148,0.9375,1.0326088426735316
3,2001,1.35,0.2732304146812507,0.19190193139692274,0.12976571895243913,1.0,1.1616849480077234
3,2001,1.5,0.27323041468125064,0.19190193139692227,0.13209237822248615,1.0,1.2907610533419147
3,2002,0.75,0.26969808627880704,0.18972036148176036,0.14183330639271874,0.625,0.6108326106033543
3,2002,0.85,0.26969808627880654,0.1897203614817607,0.13860775957969135,0.6875,0.6922769586838016
3,2002,0.95,0.26969808627880626,0.18972036148176022,0.13633576779816886,0.9375,0.7737213067642488
3,2002,1.0,0.26969808627880754,0.18972036148176152,0.13548963628998092,0.9375,0.8144434808044723
3,2002,1.1,0.2696980862788071,0.18972036148176083,0.13423366654472613,0.9375,0.8958878288849197
3,2002,1.2,0.2696980862788067,0.18972036148176027,0.1334810941883065,0.9375,0.9773321769653669
3,2002,1.35,0.2696980862788065,0.18972036148175983,0.13351657390964256,1.0,1.0994986990860378
3,2002,1.5,0.2696980862788062,0.18972036148176005,0.13459509007377085,1.0,1.2216652212067083
3,2003,0.75,0.8187236672160036,0.3990308903504477,0.3002033488375271,0.875,1.1167992090208454
3,2003,0.85,0.8187236672160038,0.39903089035044803,0.29382054462112395,0.875,1.2657057702236247
3,2003,0.95,0.8187236672160035,0.39903089035044814,0.2884633326772072,0.875,1.4146123314264039
3,2003,1.0,0.8187236672160035,0.39903089035044803,0.2861016766701939,0.9375,1.4890656120277936
3,2003,1.1,0.8187236672160033,0.399030890350448,0.2820484125369458,0.9375,1.6379721732305732
3,2003,1.2,0.8187236672160029,0.3990308903504477,0.27898300134856124,0.9375,1.7868787344333523
3,2003,1.35,0.8187236672160033,0.399030890350448,0.27568519240354783,0.9375,2.010238576237522
3,2003,1.5,0.818723667216004,0.39903089035044825,0.2737380821002758,1.0,2.2335984180416903
3,2004,0.75,0.4800414844316828,0.2157474454084672,0.16795394588329388,0.9375,0.7014734287108002
3,2004,0.85,0.48004148443168326,0.2157474454084676,0.16602947311780297,0.9375,0.7950032192055736
3,2004,0.95,0.48004148443168276,0.21574744540846752,0.16467313158853802,0.9375,0.8885330097003472
3,2004,1.0,0.4800414844316828,0.21574744540846727,0.16416177244295077,0.9375,0.9352979049477339
3,2004,1.1,0.4800414844316831,0.21574744540846794,0.16344150785856912,0.9375,1.0288276954425073
3,2004,1.2,0.48004148443168315,0.21574744540846774,0.1630518552208633,0.9375,1.1223574859372805
3,2004,1.35,0.48004148443168293,0.21574744540846752,0.1631290501122891,0.9375,1.2626521716794405
3,2004,1.5,0.48004148443168293,0.21574744540846752,0.16417635053691124,1.0,1.4029468574216004
3,2005,0.75,0.6799609597778782,0.4774864812877531,0.3380331244419596,0.875,1.6507151675279068
3,2005,0.85,0.679960959777878,0.4774864812877527,0.3309579162609655,0.9375,1.870810523198294
3,2005,0.95,0.6799609597778777,0.47748648128775195,0.3260926143148748,0.9375,2.0909058788686816
3,2005,1.0,0.6799609597778782,0.47748648128775295,0.3243194331656296,0.9375,2.2009535567038756
3,2005,1.1,0.679960959777878,0.47748648128775284,0.321962753209326,0.9375,2.421048912374263
3,2005,1.2,0.6799609597778781,0.4774864812877529,0.32117670695982703,0.9375,2.6411442680446506
3,2005,1.35,0.679960959777878,0.47748648128775295,0.32189108153634777,0.9375,2.971287301550232
3,2005,1.5,0.679960959777878,0.47748648128775273,0.325112525473036,1.0,3.301430335055813
4,2001,0.75,0.1464823475130816,0.10609708857126895,0.07343885546865768,1.0,0.5343410411852174
4,2001,0.85,0.14648234751308162,0.1060970885712693,0.0730401484111732,1.0,0.6055865133432463
